subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-0100501_ses-1,0.090940 ,0.136624 ,0.198281 ,0.091412 ,0.080590 ,0.126223 ,0.091273 ,0.071824 ,0.109289 ,0.077003 ,0.112880 ,0.100672 ,0.094077 ,0.065907 ,0.091270 ,0.067971 ,0.108392 ,0.084232
sub-0100501_ses-1,0.086088 ,0.163118 ,0.208926 ,0.099838 ,0.106752 ,0.134115 ,0.097815 ,0.088255 ,0.114887 ,0.072195 ,0.103061 ,0.105964 ,0.096509 ,0.071014 ,0.078022 ,0.068193 ,0.081656 ,0.077574
sub-0100501_ses-1,0.102875 ,0.152976 ,0.212195 ,0.096368 ,0.093163 ,0.117091 ,0.089195 ,0.082272 ,0.123808 ,0.073522 ,0.120485 ,0.110280 ,0.109609 ,0.069801 ,0.105289 ,0.099762 ,0.115179 ,0.105129
sub-0100501_ses-1,0.090338 ,0.173622 ,0.220667 ,0.093727 ,0.103479 ,0.136693 ,0.078717 ,0.085200 ,0.107379 ,0.073989 ,0.115047 ,0.113560 ,0.087177 ,0.065363 ,0.096508 ,0.079971 ,0.110189 ,0.111525
sub-0100501_ses-1,0.104809 ,0.188082 ,0.225947 ,0.108696 ,0.103782 ,0.125460 ,0.092848 ,0.088095 ,0.134373 ,0.089806 ,0.147844 ,0.158718 ,0.105785 ,0.066702 ,0.099351 ,0.076544 ,0.123058 ,0.099525
sub-0100501_ses-1,0.132303 ,0.112505 ,0.169718 ,0.080039 ,0.109294 ,0.131098 ,0.073964 ,0.078686 ,0.163636 ,0.097805 ,0.125344 ,0.111100 ,0.101353 ,0.058195 ,0.104896 ,0.075596 ,0.094353 ,0.045913
sub-0100501_ses-1,0.101122 ,0.172669 ,0.219401 ,0.091978 ,0.100379 ,0.122931 ,0.069331 ,0.083558 ,0.112652 ,0.070741 ,0.117939 ,0.117619 ,0.116399 ,0.066982 ,0.086567 ,0.064095 ,0.107696 ,0.088501
sub-0100501_ses-1,0.094098 ,0.163994 ,0.206113 ,0.113248 ,0.103724 ,0.139512 ,0.087369 ,0.071993 ,0.114041 ,0.066054 ,0.122601 ,0.103734 ,0.103891 ,0.073838 ,0.097906 ,0.082287 ,0.107364 ,0.098543
sub-0100501_ses-1,0.091350 ,0.159221 ,0.213771 ,0.093374 ,0.100046 ,0.142685 ,0.085925 ,0.092782 ,0.109951 ,0.073041 ,0.104418 ,0.119270 ,0.109943 ,0.063735 ,0.089214 ,0.074552 ,0.113900 ,0.096340
sub-0100501_ses-1,0.100718 ,0.178947 ,0.233311 ,0.108062 ,0.113954 ,0.148723 ,0.093479 ,0.086297 ,0.126054 ,0.076719 ,0.117362 ,0.106531 ,0.115194 ,0.072736 ,0.097957 ,0.080899 ,0.111666 ,0.092003
sub-0100501_ses-1,0.093536 ,0.180095 ,0.253997 ,0.110482 ,0.128388 ,0.156199 ,0.085557 ,0.069476 ,0.122680 ,0.069813 ,0.125984 ,0.121378 ,0.098207 ,0.065908 ,0.096222 ,0.066923 ,0.123860 ,0.101765
sub-0100501_ses-1,0.111662 ,0.147428 ,0.202500 ,0.097279 ,0.105400 ,0.136924 ,0.090445 ,0.110021 ,0.142322 ,0.092936 ,0.097648 ,0.119638 ,0.113552 ,0.080990 ,0.115062 ,0.080278 ,0.104216 ,0.057667
