subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-C10S046_ses-2,0.186580 ,0.376940 ,0.321914 ,0.301128 ,0.236182 ,0.279239 ,0.346400 ,0.176551 ,0.222281 ,0.127077 ,0.274357 ,0.191394 ,0.093161 ,0.097050 ,0.158226 ,0.111407 ,0.191742 ,0.090400
sub-C10S047_ses-2,0.076919 ,0.113551 ,0.129482 ,0.100116 ,0.083249 ,0.103072 ,0.048092 ,0.086811 ,0.093814 ,0.095054 ,0.059996 ,0.080707 ,0.089666 ,0.077057 ,0.073073 ,0.056533 ,0.065134 ,0.043634
sub-C10S048_ses-2,0.070168 ,0.121364 ,0.139189 ,0.075556 ,0.080929 ,0.104324 ,0.077823 ,0.059542 ,0.109737 ,0.083249 ,0.074183 ,0.082908 ,0.082175 ,0.078404 ,0.078704 ,0.051729 ,0.085697 ,0.044477
sub-C10S049_ses-2,0.103542 ,0.188929 ,0.205734 ,0.118696 ,0.169720 ,0.178221 ,0.095530 ,0.047724 ,0.117137 ,0.057568 ,0.098023 ,0.082050 ,0.072401 ,0.049722 ,0.068319 ,0.045241 ,0.080884 ,0.054570
sub-C10S050_ses-2,0.093247 ,0.095995 ,0.152886 ,0.095468 ,0.111184 ,0.142040 ,0.057346 ,0.078139 ,0.144541 ,0.086768 ,0.061955 ,0.097068 ,0.090366 ,0.058359 ,0.069261 ,0.048979 ,0.084887 ,0.050761
sub-C11S042_ses-2,0.070088 ,0.068875 ,0.091710 ,0.058359 ,0.044134 ,0.072403 ,0.037799 ,0.040690 ,0.068933 ,0.035415 ,0.089299 ,0.073901 ,0.048499 ,0.036877 ,0.056904 ,0.043302 ,0.049115 ,0.044694
sub-C11S043_ses-2,0.047610 ,0.064160 ,0.095195 ,0.041978 ,0.044275 ,0.046646 ,0.048403 ,0.043361 ,0.054340 ,0.029485 ,0.042985 ,0.053102 ,0.048900 ,0.036012 ,0.055630 ,0.034854 ,0.043422 ,0.037233
sub-C11S044_ses-2,0.105587 ,0.079120 ,0.113568 ,0.070927 ,0.068430 ,0.081817 ,0.076120 ,0.054989 ,0.110760 ,0.048058 ,0.111326 ,0.080804 ,0.067317 ,0.046032 ,0.061771 ,0.049070 ,0.050774 ,0.057153
sub-C11S045_ses-2,0.060370 ,0.088534 ,0.111212 ,0.081074 ,0.053849 ,0.083090 ,0.044834 ,0.062726 ,0.082030 ,0.045780 ,0.084404 ,0.068106 ,0.071011 ,0.034110 ,0.062817 ,0.036394 ,0.047792 ,0.043442
sub-C12S056_ses-2,0.069469 ,0.151983 ,0.181815 ,0.072208 ,0.067373 ,0.084746 ,0.056279 ,0.067930 ,0.095686 ,0.059732 ,0.060845 ,0.055968 ,0.055415 ,0.047846 ,0.062773 ,0.046472 ,0.061075 ,0.038572
sub-C12S057_ses-2,0.090545 ,0.123722 ,0.157739 ,0.094859 ,0.094296 ,0.121100 ,0.048283 ,0.082420 ,0.111425 ,0.059487 ,0.067434 ,0.068321 ,0.099796 ,0.054459 ,0.069505 ,0.045247 ,0.054565 ,0.052368
sub-C12S058_ses-2,0.090326 ,0.106639 ,0.154968 ,0.087399 ,0.077038 ,0.101633 ,0.071501 ,0.057029 ,0.097756 ,0.068195 ,0.071477 ,0.058855 ,0.083775 ,0.053624 ,0.076366 ,0.045460 ,0.060459 ,0.051178
sub-C12S059_ses-2,0.081314 ,0.113024 ,0.164473 ,0.108392 ,0.089892 ,0.101164 ,0.070468 ,0.075665 ,0.123255 ,0.083209 ,0.068186 ,0.088153 ,0.083277 ,0.065039 ,0.087637 ,0.069509 ,0.062817 ,0.054184
sub-C12S060_ses-2,0.096783 ,0.106857 ,0.153045 ,0.102190 ,0.103905 ,0.115835 ,0.055864 ,0.069510 ,0.097647 ,0.060853 ,0.072142 ,0.089804 ,0.116261 ,0.059659 ,0.070534 ,0.046662 ,0.056962 ,0.042203
sub-C13S051_ses-2,0.099273 ,0.134461 ,0.166675 ,0.110509 ,0.081312 ,0.147547 ,0.073505 ,0.061207 ,0.088584 ,0.067989 ,0.057350 ,0.083949 ,0.088333 ,0.052967 ,0.073542 ,0.070629 ,0.052550 ,0.048845
sub-C13S052_ses-2,0.140418 ,0.153490 ,0.162841 ,0.253655 ,0.134901 ,0.246340 ,0.263310 ,0.208221 ,0.177673 ,0.125399 ,0.239910 ,0.150638 ,0.099315 ,0.127804 ,0.095125 ,0.150991 ,0.146382 ,0.150782
sub-C13S053_ses-2,0.065142 ,0.120228 ,0.161846 ,0.073552 ,0.113810 ,0.107743 ,0.130977 ,0.064732 ,0.080692 ,0.039673 ,0.075628 ,0.052675 ,0.085032 ,0.059807 ,0.071659 ,0.044781 ,0.057697 ,0.049434
sub-C13S054_ses-2,0.083588 ,0.095799 ,0.137429 ,0.077161 ,0.099657 ,0.124726 ,0.064047 ,0.068530 ,0.078571 ,0.051292 ,0.064739 ,0.083169 ,0.087627 ,0.049274 ,0.060650 ,0.038369 ,0.064356 ,0.046516
sub-C13S055_ses-2,0.088106 ,0.142068 ,0.175157 ,0.129535 ,0.090450 ,0.148354 ,0.098200 ,0.076014 ,0.109473 ,0.090477 ,0.086666 ,0.098477 ,0.081573 ,0.060904 ,0.094846 ,0.047225 ,0.084493 ,0.054001
